year,iso,r_gdp,emp,hours,t_hours,pop,h_exp,DHI
2000,ABW,,,,,,,
2001,ABW,,,,,,,
2002,ABW,,,,,,,
2003,ABW,,,,,,,
2004,ABW,,,,,,,
2005,ABW,,,,,,,
2006,ABW,,,,,,,
2007,ABW,,,,,,,
2008,ABW,,,,,,,
2009,ABW,,,,,,,
2010,ABW,,,,,,,
2011,ABW,,,,,,,
2012,ABW,,,,,,,
2013,ABW,,,,,,,
2014,ABW,,,,,,,
2015,ABW,,,,,,,
2016,ABW,,,,,,,
2017,ABW,,,,,,,
2018,ABW,,,,,,,
2019,ABW,,,,,,,
2000,AFG,,,,,,,
2001,AFG,,,,,,,
2002,AFG,,,,,,15.803164,
2003,AFG,,,,,,17.035744,
2004,AFG,,,,,,20.412764,
2005,AFG,,,,,,23.890501,
2006,AFG,,,,,,27.836571,
2007,AFG,,,,,,31.271839,
2008,AFG,,,,,,38.102661,
2009,AFG,,,,,,41.722744,
2010,AFG,,,,,,44.990532,
2011,AFG,,,,,,50.853474,
2012,AFG,,,,,,51.440262,
2013,AFG,,,,,,55.03463,
2014,AFG,,,,,,59.008934,
2015,AFG,,,,,,58.906528,
2016,AFG,,,,,,60.188671,
2017,AFG,,,,,,65.706024,
2018,AFG,,,,,,69.998604,
2019,AFG,,,,,,65.80603,
1950,AGO,22.026978,2.7513046,,,4.1176171,,
1951,AGO,22.840719,2.7798059,,,4.1730952,,
1952,AGO,23.700233,2.8104181,,,4.2320948,,
1953,AGO,24.580091,2.8426054,,,4.2938399,,
1954,AGO,23.918926,2.8758206,,,4.3575268,,
1955,AGO,25.836306,2.9100962,,,4.423223,,
1956,AGO,25.353148,2.9454615,,,4.4909921,,
1957,AGO,27.774029,2.9822485,,,4.5613608,,
1958,AGO,29.248936,3.0214546,,,4.6358848,,
1959,AGO,29.38117,3.0631268,,,4.7146759,,
1960,AGO,30.571266,3.1069865,,,4.7973442,,
1961,AGO,33.744862,3.0658391,,,4.7524891,,
1962,AGO,32.773457,3.1009865,,,4.826015,,
1963,AGO,34.538258,3.1485887,,,4.9195862,,
1964,AGO,38.586624,3.2039294,,,5.0260439,,
1965,AGO,41.673759,3.2601988,,,5.1348181,,
1966,AGO,43.916634,3.2891383,,,5.2012501,,
1967,AGO,46.09848,3.3050089,,,5.2474689,,
1968,AGO,45.503429,3.3562086,,,5.3503842,,
1969,AGO,47.069885,3.4183433,,,5.4716411,,
1970,AGO,50.396053,3.4877801,,,5.6056261,,
1971,AGO,50.568974,3.5629396,,,5.7529569,,
1972,AGO,51.321686,3.6341243,,,5.8952122,,
1973,AGO,54.846207,3.6976795,,,6.0263629,,
1974,AGO,52.089657,3.656647,,,5.9874921,,
1975,AGO,32.112289,3.5774424,,,5.8854551,,
1976,AGO,28.831894,3.5956485,,,5.9434662,,
1977,AGO,29.493059,3.7112055,,,6.1637139,,
1978,AGO,30.703501,3.7675033,,,6.2871799,,
1979,AGO,31.451126,3.8480799,,,6.4525461,,
1980,AGO,32.971806,4.0019946,,,6.7430801,,
1981,AGO,32.310638,4.0616922,,,6.8795738,,
1982,AGO,30.769617,4.1219873,,,7.0185261,,
1983,AGO,29.757524,4.2299442,,,7.2405348,,
1984,AGO,29.910101,4.3248477,,,7.4424481,,
1985,AGO,30.062677,4.3840203,,,7.5847092,,
1986,AGO,27.356987,4.4547658,,,7.748632,,
1987,AGO,30.439034,4.5049634,,,7.878396,,
1988,AGO,34.802727,4.5630178,,,8.0233898,,
1989,AGO,35.392689,4.6119504,,,8.1538439,,
1990,AGO,36.628559,4.6669984,,,8.2966061,,
1991,AGO,41.054752,4.8106999,,,8.5872593,,
1992,AGO,45.736225,4.9664001,,,8.898838,,
1993,AGO,50.753033,5.1371002,,,9.2417002,,
1994,AGO,56.087685,5.3053999,,,9.6005983,,
1995,AGO,61.900612,5.4776001,,,9.9637451,,
1996,AGO,68.838432,5.6487999,,,10.312914,,
1997,AGO,73.845741,5.8330998,,,10.651402,,
1998,AGO,77.309845,6.0286002,,,10.990173,,
1999,AGO,78.995972,6.2343001,,,11.333739,,
2000,AGO,81.409302,6.4526,,,11.676484,12.998967,
2001,AGO,84.833374,6.6689,,,12.030149,28.918121,
2002,AGO,96.426704,6.8895001,,,12.443081,29.049364,
2003,AGO,99.30986,7.1314001,,,12.935949,34.875187,
2004,AGO,110.18727,7.3863001,,,13.480161,49.810741,
2005,AGO,126.74731,7.6560998,2040.7947,15624.528,14.0121,54.260777,
2006,AGO,141.38409,7.9368,2043.4229,16218.238,14.534987,69.812302,
2007,AGO,161.192,8.2334995,2046.364,16848.738,15.083678,92.860306,
2008,AGO,179.1907,8.5445995,2049.2112,17509.689,15.657934,135.60582,
2009,AGO,180.72995,8.8610001,2051.0481,18174.338,16.260475,119.99628,
2010,AGO,189.51163,8.6589003,2026.0573,17543.428,16.884699,96.697014,
2011,AGO,196.09146,9.1806002,2037.9127,18709.262,17.524607,122.10723,
2012,AGO,212.8416,9.5134001,2039.3179,19400.846,18.201962,122.18559,
2013,AGO,223.38791,9.8610001,2040.6791,20123.137,18.907511,143.60687,
2014,AGO,234.1619,10.228,2042.6106,20891.822,19.623852,131.64766,
2015,AGO,236.37239,10.6072,2044.5287,21686.725,20.353699,108.58294,
2016,AGO,230.27399,10.9951,2046.0308,22496.313,21.097589,95.124977,
2017,AGO,229.92857,11.3981,2048.0046,23343.361,21.858566,114.3346,
2018,AGO,225.33,11.8157,2049.9788,24221.934,22.638159,87.310738,
2019,AGO,223.97801,12.2431,2051.7573,25119.869,23.436911,71.326004,
2020,AGO,215.07489,12.2691,1940.7697,23811.496,24.253254,,
2021,AGO,221.74222,12.974718,2012.3358,26109.49,25.0891,,
1950,ALB,2.6712332,0.52574539,,,1.227156,,
1951,ALB,2.847753,0.53107989,,,1.254119,,
1952,ALB,2.9173167,0.53682292,,,1.282697,,
1953,ALB,3.11079,0.54366094,,,1.314608,,
1954,ALB,3.2955678,0.55282336,,,1.352982,,
1955,ALB,3.5738215,0.56193143,,,1.392164,,
1956,ALB,3.71947,0.57189894,,,1.434476,,
1957,ALB,4.0738087,0.58133543,,,1.476505,,
1958,ALB,4.3868442,0.59147608,,,1.521417,,
1959,ALB,4.7172704,0.60309047,,,1.571329,,
1960,ALB,5.1194339,0.6149196,,,1.623114,,
1961,ALB,5.3321738,0.63163799,,,1.676635,,
1962,ALB,5.6778755,0.6473729,,,1.728137,,
1963,ALB,6.0467854,0.66291749,,,1.7797149,,
1964,ALB,6.4386115,0.67861027,,,1.832284,,
1965,ALB,6.8606048,0.69363761,,,1.883652,,
1966,ALB,7.3041606,0.70769382,,,1.932963,,
1967,ALB,7.7794304,0.72219086,,,1.98406,,
1968,ALB,8.2821541,0.73775244,,,2.038698,,
1969,ALB,8.8220339,0.75557405,,,2.1002631,,
1970,ALB,9.3929138,0.77126902,,,2.1566119,,
1971,ALB,10.004384,0.79547256,,,2.208719,,
1972,ALB,10.654193,0.82092822,,,2.2635541,,
1973,ALB,11.343661,0.83837122,,,2.295691,,
1974,ALB,11.64501,0.86336583,,,2.347924,,
1975,ALB,11.950281,0.88897592,,,2.401108,,
1976,ALB,12.266528,0.91505247,,,2.454824,,
1977,ALB,12.592327,0.94159055,,,2.509048,,
1978,ALB,12.9242,0.96844131,,,2.5633759,,
1979,ALB,13.262333,0.99555647,,,2.6176791,,
1980,ALB,13.630148,1.0227273,,,2.671412,,
1981,ALB,13.974425,1.0582767,,,2.724272,,
1982,ALB,14.339198,1.1084102,,,2.780097,,
1983,ALB,14.719746,1.1412251,,,2.8373151,,
1984,ALB,15.109721,1.1658361,,,2.895998,,
1985,ALB,15.50715,1.1831551,,,2.956697,,
1986,ALB,15.915724,1.2223505,,,3.0154381,,
1987,ALB,16.333942,1.2588114,,,3.075321,,
1988,ALB,16.766195,1.2806879,,,3.136843,,
1989,ALB,17.210133,1.3043875,,,3.1958001,,
1990,ALB,17.662592,1.3098565,,,3.250778,,
1991,ALB,12.717066,1.2798675,,,3.1867857,,
1992,ALB,11.801436,0.99793386,,,3.0775521,,
1993,ALB,12.934375,0.95336044,,,3.0718148,,
1994,ALB,14.150206,1.0587742,,,3.1167727,,
1995,ALB,15.409575,1.0371557,,,3.1638496,,
1996,ALB,16.811846,1.0170394,,,3.144187,,
1997,ALB,14.97532,1.0096716,,,3.1245244,,
1998,ALB,16.297491,0.98909575,,,3.1048517,,
1999,ALB,18.398399,0.97086531,,,3.0851891,,
2000,ALB,19.676353,0.97367829,,,3.06476,80.616951,
2001,ALB,21.308113,0.98242152,,,3.0466304,89.580734,
2002,ALB,22.274862,0.98196793,,,3.0375109,96.271118,
2003,ALB,23.506439,0.98845756,,,3.0261714,125.98798,
2004,ALB,24.80282,0.99378496,,,3.0135474,156.56818,
2005,ALB,26.173424,0.9947294,2334.9565,2322.6499,2.9981658,165.26537,
2006,ALB,27.718441,0.99788404,2334.9365,2329.9958,2.9793096,174.53024,
2007,ALB,29.376835,1.0020909,2334.5999,2339.4812,2.9568794,222.30367,
2008,ALB,31.580097,0.96229327,2195.572,2112.7839,2.9342697,220.46425,
2009,ALB,32.639294,0.90508723,2191.3125,1983.329,2.9145672,186.44281,
2010,ALB,33.849232,0.90420973,2119.5891,1916.5531,2.9001315,192.00322,
2011,ALB,34.710693,0.92524147,1852.6847,1714.1808,2.8923461,211.07552,
2012,ALB,35.202892,0.95922625,2054.2114,1970.4535,2.8875673,213.71974,
2013,ALB,35.555626,0.91691601,2128.3953,1951.5597,2.8822808,236.95796,
2014,ALB,36.186382,0.92526299,1946.1432,1800.6943,2.8763173,251.35826,
2015,ALB,36.989357,0.97262001,1969.799,1915.8658,2.8679545,192.88513,
2016,ALB,38.215557,1.04281,2059.1372,2147.2891,2.8633749,202.01332,
2017,ALB,39.66851,1.0958805,2081.2842,2280.8389,2.8607466,226.28067,
2018,ALB,41.283417,1.1379392,2113.6519,2405.2073,2.8536978,274.91409,
2019,ALB,42.208164,1.1471307,2142.7405,2458.0034,2.8415618,,
2020,ALB,40.730881,1.129059,2066.855,2333.6013,2.825294,,
2021,ALB,42.349545,1.1432879,2166.8201,2477.2993,2.8321304,,
2000,AND,,,,,,1302.6207,
2001,AND,,,,,,1347.485,
2002,AND,,,,,,1528.7506,
2003,AND,,,,,,1820.0419,
2004,AND,,,,,,2043.3022,
2005,AND,,,,,,2299.7036,
2006,AND,,,,,,2161.2053,
2007,AND,,,,,,2403.5991,
2008,AND,,,,,,2818.8047,
2009,AND,,,,,,2714.2498,
2010,AND,,,,,,2685.4797,
2011,AND,,,,,,2634.0327,
2012,AND,,,,,,2370.0571,
2013,AND,,,,,,2432.7827,
2014,AND,,,,,,2529.0898,
2015,AND,,,,,,2246.2544,
2016,AND,,,,,,2361.2175,
2017,AND,,,,,,2567.4238,
2018,AND,,,,,,2821.8013,
2019,AND,,,,,,2744.1943,
1950,ARE,9.2766342,0.018955862,,,0.071520001,,
1951,ARE,10.055872,0.019422844,,,0.073298,,
1952,ARE,10.658854,0.019941811,,,0.075273,,
1953,ARE,11.71639,0.020521997,,,0.077480003,,
1954,ARE,13.052225,0.021170776,,,0.079947002,,
1955,ARE,13.36763,0.021898959,,,0.082714997,,
1956,ARE,14.36023,0.022718934,,,0.085831001,,
1957,ARE,14.879722,0.02364599,,,0.089353003,,
1958,ARE,15.612576,0.024695661,,,0.093340002,,
1959,ARE,17.217434,0.025888504,,,0.09787,,
1960,ARE,18.979994,0.027252192,,,0.103048,,
1961,ARE,20.742556,0.030447312,,,0.108989,,
1962,ARE,23.061714,0.034083426,,,0.115827,,
1963,ARE,25.427256,0.038259067,,,0.123751,,
1964,ARE,28.033989,0.043093745,,,0.13298,,
1965,ARE,30.891193,0.04874206,,,0.14379799,,
1966,ARE,34.04525,0.05540562,,,0.156574,,
1967,ARE,37.523987,0.063333094,,,0.171745,,
1968,ARE,41.355236,0.073269568,,,0.190974,,
1969,ARE,45.603935,0.08683008,,,0.217858,,
1970,ARE,50.270084,0.10310483,,,0.249369,,
1971,ARE,58.68399,0.12527043,,,0.28813601,,
1972,ARE,68.498672,0.15516174,,,0.33632499,,
1973,ARE,79.964592,0.19125837,,,0.39133701,,
1974,ARE,105.86495,0.23374441,,,0.45322201,,
1975,ARE,109.2602,0.26117972,,,0.52257103,,
1976,ARE,125.68913,0.29918569,,,0.598023,,
1977,ARE,147.6098,0.34416902,,,0.68367201,,
1978,ARE,144.14963,0.39471096,,,0.778736,,
1979,ARE,180.02237,0.45065126,,,0.88404,,
1980,ARE,227.5744,0.51413584,,,1.000285,,
1981,ARE,233.93817,0.54575235,,,1.0697221,,
1982,ARE,214.66133,0.57095963,,,1.137549,,
1983,ARE,203.89116,0.59740037,,,1.2091,,
1984,ARE,212.59264,0.62457764,,,1.284385,,
1985,ARE,207.62036,0.64684522,,,1.363482,,
1986,ARE,163.54707,0.69025987,,,1.446574,,
1987,ARE,169.39134,0.7377646,,,1.530444,,
1988,ARE,168.97389,0.79035378,,,1.6227469,,
1989,ARE,186.92419,0.84788316,,,1.7220629,,
1990,ARE,209.33653,0.90832418,,,1.82625,,
1991,ARE,213.81844,0.96890002,,,1.9288408,,
1992,ARE,220.43611,1.0444,,,2.039659,,
1993,ARE,220.37219,1.1281,,,2.1577556,,
1994,ARE,236.59819,1.2112,,,2.2818203,,
1995,ARE,252.16635,1.2948,,,2.4085834,,
1996,ARE,265.63202,1.3584,,,2.5776694,,
1997,ARE,288.35153,1.4329,,,2.7489457,,
1998,ARE,290.63242,1.5182,,,2.9233291,,
1999,ARE,301.53403,1.6138,,,3.1013255,,
2000,ARE,338.71014,1.7211,,,3.2836416,787.02112,
2001,ARE,343.0592,1.8485,,,3.4580574,777.13062,
2002,ARE,351.56021,1.9912,,,3.6132364,857.91193,
2003,ARE,382.54321,2.1789,,,3.7535124,886.50122,
2004,ARE,419.17935,2.4563,,,3.8820958,894.54041,
2005,ARE,439.58081,2.8515,2761.7881,7875.2388,4.0002646,913.35608,
2006,ARE,482.79602,3.3861001,2760.759,9348.2061,4.5315433,974.52063,
2007,ARE,498.39514,4.0648999,2753.709,11193.551,5.6229959,1072.7053,
2008,ARE,514.41858,4.8109999,2744.0208,13201.484,7.2765031,1303.1407,
2009,ARE,487.51959,5.5166998,2734.0056,15082.688,8.1642351,1296.9777,
2010,ARE,495.29553,6.0739002,2726.1187,16558.172,8.1522093,1314.63,
2011,ARE,529.61951,6.3337002,2725.6589,17263.506,8.4381504,1438.4722,
2012,ARE,553.37299,6.4450998,2725.9001,17568.699,8.7474756,1403.5249,
2013,ARE,581.3349,6.4580002,2725.9917,17604.455,9.0772152,1523.8838,
2014,ARE,606.23926,6.4513998,2725.1936,17581.314,9.3206301,1588.2823,
2015,ARE,637.19385,6.4857001,2723.1294,17661.4,9.4608297,1385.5377,
2016,ARE,656.69836,6.5016999,2725.0178,17717.248,9.5872526,1322.0043,
2017,ARE,672.28839,6.5084,2726.8176,17747.221,9.6994505,1650.0186,
2018,ARE,680.28864,6.5998998,2726.5249,17994.793,9.7960205,1817.3477,
2019,ARE,691.70386,6.6777,2725.4333,18199.625,9.8793125,1842.6945,
2020,ARE,650.72729,6.4791002,2573.7991,16675.9,9.9525089,,
2021,ARE,666.16888,6.6208572,2660.1228,17612.293,10.018003,,
1950,ARG,192.77866,6.9759722,2034,14189.127,17.150335,,
1951,ARG,200.31181,7.0861917,2037.8667,14440.715,17.517342,,
1952,ARG,190.09402,7.1981525,2041.7408,14696.763,17.876957,,
1953,ARG,200.31181,7.3118825,2045.6223,14957.351,18.230816,,
1954,ARG,208.56628,7.4274096,2049.5112,15222.559,18.580559,,
1955,ARG,223.43651,7.5447617,2053.4075,15492.47,18.92782,,
1956,ARG,229.59242,7.6465425,2057.311,15731.316,19.271511,,
1957,ARG,241.38356,7.7496958,2061.2222,15973.845,19.610538,,
1958,ARG,256.18842,7.8542409,2065.1406,16220.112,19.946539,,
1959,ARG,239.61635,7.9601965,2069.0667,16470.178,20.281151,,
1960,ARG,258.35007,8.0675812,2073,16724.096,20.616009,,
1961,ARG,276.82233,8.1699705,2066.2004,16880.797,20.950583,,
1962,ARG,272.36826,8.2736578,2059.4233,17038.965,21.283783,,
1963,ARG,265.81787,8.3786621,2052.6685,17198.615,21.616404,,
1964,ARG,293.19827,8.4849987,2045.9355,17359.762,21.949244,,
1965,ARG,319.99039,8.5926857,2039.2249,17522.418,22.2831,,
1966,ARG,322.15204,8.6980505,2032.5361,17679.102,22.611605,,
1967,ARG,330.79874,8.8047075,2025.8694,17837.188,22.934225,,
1968,ARG,344.88004,8.912672,2019.2245,17996.688,23.260513,,
1969,ARG,374.35898,9.0219612,2012.6014,18157.611,23.600025,,
1970,ARG,394.40234,9.1325903,2006,18319.977,23.962313,,
1971,ARG,413.53055,9.2199516,2002.6611,18464.438,24.363815,,
1972,ARG,426.43518,9.3081484,1999.3278,18610.039,24.779799,,
1973,ARG,452.44061,9.3971891,1996,18756.789,25.209829,,
1974,ARG,481.78659,9.7391291,1992.8422,19408.547,25.646372,,
1975,ARG,477.52863,9.8017569,1989.6893,19502.451,26.081881,,
1976,ARG,476.34973,9.8090687,1986.5415,19486.123,26.531281,,
1977,ARG,505.10513,10.074822,1983.3987,19982.391,26.983828,,
1978,ARG,482.90012,10.166798,1980.2609,20132.91,27.440271,,
1979,ARG,517.41919,10.344052,1977.1279,20451.516,27.901972,,
1980,ARG,524.75629,10.374576,1974,20479.412,28.369799,,
1981,ARG,494.62363,10.398583,1961.2301,20394.014,28.848,,
1982,ARG,479.03433,10.56307,1948.5427,20582.594,29.33,,
1983,ARG,495.93549,10.889376,1935.9375,21081.15,29.784,,
1984,ARG,506.02255,11.143391,1923.4137,21433.352,30.231001,,
1985,ARG,472.54935,11.224034,1910.9711,21448.805,30.672001,,
1986,ARG,507.13608,11.555623,1898.6089,21939.607,31.145,,
1987,ARG,520.23682,11.796386,1886.3267,22251.836,31.625,,
1988,ARG,510.41125,12.029204,1874.1238,22544.219,32.098999,,
1989,ARG,478.70749,12.134923,1862,22595.227,32.571999,,
1990,ARG,479.03433,12.467641,1850,23065.135,33.035999,,
1991,ARG,529.32336,12.861238,1837.9608,23638.451,33.504848,,
1992,ARG,583.83838,13.069288,1826,23864.521,33.967308,,
1993,ARG,620.33411,12.978823,1850.3378,24015.205,34.407616,,
1994,ARG,656.49957,13.481797,1875,25278.369,34.847359,,
1995,ARG,637.8222,12.888598,1881.9612,24255.84,35.274319,,
1996,ARG,673.07465,13.132307,1888.9481,24806.248,35.683437,,
1997,ARG,727.66772,14.136738,1895.9611,26802.705,36.102642,,
1998,ARG,755.68292,14.711587,1903,27996.15,36.518406,,
1999,ARG,730.10303,14.850273,1887.285,28026.697,36.923912,,
2000,ARG,724.34253,14.873474,1862.1362,27696.436,37.336151,708.76953,
2001,ARG,692.40625,14.538537,1811.1526,26331.51,37.713737,675.05786,
2002,ARG,616.97552,13.729245,1710.0365,23477.512,38.07914,223.8486,
2003,ARG,672.22571,14.422302,1713.5746,24713.691,38.438454,262.28659,
2004,ARG,732.12775,15.463496,1743.3999,26959.057,38.799797,311.64505,
2005,ARG,796.93567,16.21843,1771.6785,28733.846,39.171291,392.58875,
2006,ARG,861.06506,17.085705,1775.9203,30342.85,39.555981,455.7981,
2007,ARG,938.62982,17.643112,1787.5447,31537.852,39.946758,572.0401,
2008,ARG,976.71002,17.96541,1789.765,32153.861,40.342613,746.49329,
2009,ARG,918.89856,18.056629,1751.6228,31628.404,40.736439,785.67023,
2010,ARG,1011.937,18.425787,1760.2247,32433.525,41.400715,985.03442,
2011,ARG,1072.6937,18.892998,1760.2303,33256.027,41.880852,1208.3916,
2012,ARG,1061.6879,19.291801,1736.1034,33492.563,42.359715,1368.423,
2013,ARG,1087.2216,19.456932,1725.8735,33580.203,42.83643,1421.6576,
2014,ARG,1059.8997,19.490126,1705.4283,33239.016,43.309998,1286.2177,
2015,ARG,1088.8455,19.766636,1703.4685,33671.844,43.779404,1531.4843,
2016,ARG,1066.1975,20.019909,1646.5126,32963.031,44.244686,1153.5341,
2017,ARG,1096.2535,20.356861,1648.8129,33564.652,44.705952,1529.67,
2018,ARG,1068.1346,20.554552,1638.4401,33677.402,45.162395,1127.9285,
2019,ARG,1045.832,20.807032,1612.1173,33543.379,45.61327,945.99194,
2020,ARG,941.70898,18.728737,1429.7775,26777.924,46.008007,,
2021,ARG,997.68213,20.297712,1587.9031,32230.801,46.397774,,
1950,ARM,,0.5330832,,,1.355269,,
1951,ARM,,0.5429877,,,1.379204,,
1952,ARM,,0.55826157,,,1.4167221,,
1953,ARM,,0.57416832,,,1.455777,,
1954,ARM,,0.5943805,,,1.505668,,
1955,ARM,,0.61848837,,,1.565329,,
1956,ARM,,0.63966072,,,1.61746,,
1957,ARM,,0.66198313,,,1.672403,,
1958,ARM,,0.68663418,,,1.733125,,
1959,ARM,,0.71232599,,,1.796363,,
1960,ARM,,0.74173445,,,1.868852,,
1961,ARM,,0.77205241,,,1.943799,,
1962,ARM,,0.79768729,,,2.0068531,,
1963,ARM,,0.82165319,,,2.065618,,
1964,ARM,,0.84985614,,,2.1349399,,
1965,ARM,,0.87872571,,,2.205833,,
1966,ARM,,0.90642864,,,2.273695,,
1967,ARM,,0.93277758,,,2.338063,,
1968,ARM,,0.95913529,,,2.4023581,,
1969,ARM,,0.98413241,,,2.4631529,,
1970,ARM,15.43665,1.0074848,,,2.5197451,,
1971,ARM,15.54843,1.0515538,,,2.581671,,
1972,ARM,15.163393,1.0979753,,,2.6470349,,
1973,ARM,16.555038,1.1456268,,,2.712997,,
1974,ARM,16.822659,1.1932251,,,2.7765391,,
1975,ARM,15.930578,1.2391746,,,2.834136,,
1976,ARM,17.003002,1.2864174,,,2.892704,,
1977,ARM,17.162434,1.33618,,,2.9549069,,
1978,ARM,17.68733,1.3854628,,,3.0140419,,
1979,ARM,17.159445,1.4326166,,,3.066726,,
1980,ARM,16.246925,1.4786024,,,3.115289,,
1981,ARM,16.575024,1.5132115,,,3.1660981,,
1982,ARM,17.765402,1.5486307,,,3.2186911,,
1983,ARM,18.325359,1.5848789,,,3.270153,,
1984,ARM,19.360279,1.6219755,,,3.3223939,,
1985,ARM,20.175055,1.6599405,,,3.3735321,,
1986,ARM,21.374773,1.6835467,,,3.421978,,
1987,ARM,20.846775,1.6985687,,,3.468857,,
1988,ARM,19.850195,1.7318319,,,3.515614,,
1989,ARM,21.363314,1.7082257,,,3.3259921,,
1990,ARM,20.316149,1.749,,,3.3767829,,
1991,ARM,17.939159,1.793,,,3.4341576,,
1992,ARM,10.440591,1.693,,,3.3572536,,
1993,ARM,8.9732704,1.656,,,3.1846573,,
1994,ARM,9.4578276,1.596,,,3.059803,,
1995,ARM,10.217574,1.584,,,2.9949284,,
1996,ARM,10.745721,1.54,,,2.9851818,,
1997,ARM,11.109678,1.472,,,2.978096,,
1998,ARM,11.806366,1.4349999,,,2.9719267,,
1999,ARM,12.180628,1.393,,,2.9698706,,
2000,ARM,12.89356,1.3710001,,,2.9660225,26.129089,
2001,ARM,14.114323,1.357,,,2.9654791,32.259338,
2002,ARM,16.204229,1.187,,,2.9624624,59.632389,
2003,ARM,18.481249,1.188,,,2.9553659,66.778023,
2004,ARM,20.41679,1.16,,,2.9532487,72.171783,
2005,ARM,23.298212,1.178,1965.4619,2315.3142,2.9507506,96.354843,
2006,ARM,26.37311,1.1720001,1969.4248,2308.1658,2.9479003,126.25294,
2007,ARM,29.999147,1.182,1975.9906,2335.6208,2.9455132,172.60187,
2008,ARM,32.083488,1.199,2187.5764,2622.9041,2.9434648,266.31158,
2009,ARM,27.543674,1.169,1822.4341,2130.4255,2.9413626,252.8356,
2010,ARM,28.149635,1.1849999,1867.1851,2212.6143,2.9391661,297.22906,
2011,ARM,29.47267,1.175,1838.2084,2159.8948,2.9368572,330.57556,
2012,ARM,31.575249,1.173,1893.5907,2221.1819,2.9344175,336.32056,
2013,ARM,32.652596,1.164,1897.5398,2208.7363,2.9316189,396.23254,
2014,ARM,33.830376,1.1339999,2012.2281,2281.8667,2.9282618,405.72888,
2015,ARM,34.931217,1.073,1868.928,2005.3597,2.9241638,364.97281,
2016,ARM,34.999332,1.006,1857.7662,1868.9128,2.9192326,357.45776,
2017,ARM,37.630581,1.012,1862.8905,1885.2452,2.9134405,405.6507,
2018,ARM,39.596779,1.048,1977.5199,2072.4409,2.9068062,422.28268,
2019,ARM,42.599007,1.077,1971.8689,2123.7029,2.8993032,523.99908,
2020,ARM,39.373837,1.0029896,1754.3485,1759.5934,2.8908579,,
2021,ARM,40.082253,1.0399555,1898.95,1974.8235,2.8814106,,
2000,ASM,,,,,,,
2001,ASM,,,,,,,
2002,ASM,,,,,,,
2003,ASM,,,,,,,
2004,ASM,,,,,,,
2005,ASM,,,,,,,
2006,ASM,,,,,,,
2007,ASM,,,,,,,
2008,ASM,,,,,,,
2009,ASM,,,,,,,
2010,ASM,,,,,,,
2011,ASM,,,,,,,
2012,ASM,,,,,,,
2013,ASM,,,,,,,
2014,ASM,,,,,,,
2015,ASM,,,,,,,
2016,ASM,,,,,,,
2017,ASM,,,,,,,
2018,ASM,,,,,,,
2019,ASM,,,,,,,
2000,ATG,,,,,,512.5683,
2001,ATG,,,,,,563.73712,
2002,ATG,,,,,,550.06458,
2003,ATG,,,,,,602.6936,
2004,ATG,,,,,,585.72125,
2005,ATG,,,,,,626.71667,
2006,ATG,,,,,,648.22711,
2007,ATG,,,,,,694.53644,
2008,ATG,,,,,,673.83752,
2009,ATG,,,,,,591.42523,
2010,ATG,,,,,,701.81781,
2011,ATG,,,,,,693.80725,
2012,ATG,,,,,,727.25696,
2013,ATG,,,,,,711.2298,
2014,ATG,,,,,,792.84149,
2015,ATG,,,,,,754.24188,
2016,ATG,,,,,,778.45111,
2017,ATG,,,,,,750.01923,
2018,ATG,,,,,,808.69928,
2019,ATG,,,,,,760.26495,
1950,AUS,125.36195,3.511868,1957.9534,6876.0737,8.2673368,,57.310001
1951,AUS,132.36731,3.6081591,1939.8464,6999.2744,8.5106001,,57.310001
1952,AUS,135.77551,3.6775374,1921.907,7067.8848,8.6912117,,57.310001
1953,AUS,138.49911,3.7407472,1904.1333,7122.8813,8.8579245,,57.310001
1954,AUS,144.94844,3.8202789,1886.5242,7207.0483,9.0640173,,57.310001
1955,AUS,153.41167,3.9024043,1869.0778,7293.897,9.2770872,,57.310001
1956,AUS,160.23383,3.9885638,1851.7927,7385.9932,9.5006056,,57.310001
1957,AUS,164.59184,4.0407753,1834.6675,7413.4795,9.7125692,,57.310001
1958,AUS,170.17726,4.0766072,1817.7007,7410.0513,9.915267,,57.310001
1959,AUS,179.49886,4.1267715,1800.8907,7431.8643,10.131729,,57.310001
1960,AUS,188.77769,4.2547412,1784.2363,7591.4634,10.361273,,57.310001
1961,AUS,188.85873,4.2670264,1780.9447,7599.3379,10.598814,,57.310001
1962,AUS,199.04411,4.3694019,1777.6592,7767.3076,10.794968,,57.310001
1963,AUS,211.46478,4.4943008,1774.3798,7974.5957,11.001483,,57.310001
1964,AUS,224.43059,4.6555424,1771.1063,8245.4609,11.218304,,57.310001
1965,AUS,235.79155,4.7965655,1767.8389,8479.5547,11.439384,,57.310001
1966,AUS,242.27667,4.9694781,1764.5775,8769.0303,11.655083,,57.310001
1967,AUS,260.08627,5.1249361,1761.3223,9026.6641,11.872264,,57.310001
1968,AUS,273.56903,5.2500648,1758.0729,9229.9971,12.10166,,57.310001
1969,AUS,291.97922,5.3968463,1754.8296,9470.5459,12.379384,,57.310001
1970,AUS,311.85364,5.60147,1751.5922,9811.4912,12.66016,,57.310001
1971,AUS,323.7467,5.7337141,1734.7839,9946.7549,12.9372,,57.310001
1972,AUS,329.82596,5.8183789,1716.4476,9986.9434,13.177,,57.310001
